Alert_ID,Tourist_ID,Restricted_Area,Entry_Time,Exit_Time,Alert_Status
30,779,Cliff Area,2025-01-02 05:00:00,2025-01-02 06:00:00,Triggered
31,288,Cliff Area,2025-01-02 06:00:00,2025-01-02 07:00:00,Resolved
32,157,Cliff Area,2025-01-02 07:00:00,2025-01-02 08:00:00,Triggered
33,678,Border Zone,2025-01-02 08:00:00,2025-01-02 09:00:00,Triggered
34,502,Unsafe Market,2025-01-02 09:00:00,2025-01-02 10:00:00,Resolved
35,419,Cliff Area,2025-01-02 10:00:00,2025-01-02 11:00:00,Resolved
36,784,Construction Site,2025-01-02 11:00:00,2025-01-02 12:00:00,Triggered
37,669,Unsafe Market,2025-01-02 12:00:00,2025-01-02 13:00:00,Resolved
38,90,Construction Site,2025-01-02 13:00:00,2025-01-02 14:00:00,Triggered
39,532,Unsafe Market,2025-01-02 14:00:00,2025-01-02 15:00:00,Resolved
40,70,Border Zone,2025-01-02 15:00:00,2025-01-02 16:00:00,Triggered
41,938,Unsafe Market,2025-01-02 16:00:00,2025-01-02 17:00:00,Triggered
42,963,Construction Site,2025-01-02 17:00:00,2025-01-02 18:00:00,Resolved
43,587,Border Zone,2025-01-02 18:00:00,2025-01-02 19:00:00,Resolved
44,66,Border Zone,2025-01-02 19:00:00,2025-01-02 20:00:00,Resolved
45,273,Unsafe Market,2025-01-02 20:00:00,2025-01-02 21:00:00,Resolved
46,782,Construction Site,2025-01-02 21:00:00,2025-01-02 22:00:00,Triggered
47,789,Border Zone,2025-01-02 22:00:00,2025-01-02 23:00:00,Resolved
48,743,Border Zone,2025-01-02 23:00:00,2025-01-03 00:00:00,Triggered
49,941,Cliff Area,2025-01-03 00:00:00,2025-01-03 01:00:00,Resolved
50,545,Border Zone,2025-01-03 01:00:00,2025-01-03 02:00:00,Triggered
51,777,Border Zone,2025-01-03 02:00:00,2025-01-03 03:00:00,Resolved
52,542,Border Zone,2025-01-03 03:00:00,2025-01-03 04:00:00,Resolved
53,503,Cliff Area,2025-01-03 04:00:00,2025-01-03 05:00:00,Resolved
54,607,Unsafe Market,2025-01-03 05:00:00,2025-01-03 06:00:00,Triggered
55,613,Border Zone,2025-01-03 06:00:00,2025-01-03 07:00:00,Triggered
56,719,Construction Site,2025-01-03 07:00:00,2025-01-03 08:00:00,Triggered
57,464,Unsafe Market,2025-01-03 08:00:00,2025-01-03 09:00:00,Triggered
58,481,Cliff Area,2025-01-03 09:00:00,2025-01-03 10:00:00,Resolved
59,703,Border Zone,2025-01-03 10:00:00,2025-01-03 11:00:00,Resolved
60,914,Unsafe Market,2025-01-03 11:00:00,2025-01-03 12:00:00,Triggered
61,844,Border Zone,2025-01-03 12:00:00,2025-01-03 13:00:00,Resolved
62,690,Construction Site,2025-01-03 13:00:00,2025-01-03 14:00:00,Resolved
63,862,Border Zone,2025-01-03 14:00:00,2025-01-03 15:00:00,Resolved
64,941,Construction Site,2025-01-03 15:00:00,2025-01-03 16:00:00,Triggered
65,372,Construction Site,2025-01-03 16:00:00,2025-01-03 17:00:00,Resolved
66,15,Border Zone,2025-01-03 17:00:00,2025-01-03 18:00:00,Triggered
67,607,Cliff Area,2025-01-03 18:00:00,2025-01-03 19:00:00,Triggered
68,26,Cliff Area,2025-01-03 19:00:00,2025-01-03 20:00:00,Resolved
69,695,Border Zone,2025-01-03 20:00:00,2025-01-03 21:00:00,Resolved
70,286,Border Zone,2025-01-03 21:00:00,2025-01-03 22:00:00,Resolved
71,267,Cliff Area,2025-01-03 22:00:00,2025-01-03 23:00:00,Resolved
72,211,Cliff Area,2025-01-03 23:00:00,2025-01-04 00:00:00,Triggered
73,834,Border Zone,2025-01-04 00:00:00,2025-01-04 01:00:00,Triggered
74,928,Cliff Area,2025-01-04 01:00:00,2025-01-04 02:00:00,Triggered
75,800,Construction Site,2025-01-04 02:00:00,2025-01-04 03:00:00,Triggered
76,692,Construction Site,2025-01-04 03:00:00,2025-01-04 04:00:00,Resolved
77,697,Unsafe Market,2025-01-04 04:00:00,2025-01-04 05:00:00,Triggered
78,953,Border Zone,2025-01-04 05:00:00,2025-01-04 06:00:00,Triggered
79,388,Construction Site,2025-01-04 06:00:00,2025-01-04 07:00:00,Triggered
80,419,Border Zone,2025-01-04 07:00:00,2025-01-04 08:00:00,Resolved
81,33,Construction Site,2025-01-04 08:00:00,2025-01-04 09:00:00,Resolved
82,836,Cliff Area,2025-01-04 09:00:00,2025-01-04 10:00:00,Triggered
83,177,Border Zone,2025-01-04 10:00:00,2025-01-04 11:00:00,Resolved
84,598,Border Zone,2025-01-04 11:00:00,2025-01-04 12:00:00,Triggered
85,153,Border Zone,2025-01-04 12:00:00,2025-01-04 13:00:00,Triggered
86,17,Cliff Area,2025-01-04 13:00:00,2025-01-04 14:00:00,Triggered
87,137,Construction Site,2025-01-04 14:00:00,2025-01-04 15:00:00,Triggered
88,119,Border Zone,2025-01-04 15:00:00,2025-01-04 16:00:00,Resolved
89,285,Unsafe Market,2025-01-04 16:00:00,2025-01-04 17:00:00,Resolved
90,251,Unsafe Market,2025-01-04 17:00:00,2025-01-04 18:00:00,Resolved
91,766,Unsafe Market,2025-01-04 18:00:00,2025-01-04 19:00:00,Triggered
92,209,Construction Site,2025-01-04 19:00:00,2025-01-04 20:00:00,Triggered
93,362,Unsafe Market,2025-01-04 20:00:00,2025-01-04 21:00:00,Resolved
94,309,Border Zone,2025-01-04 21:00:00,2025-01-04 22:00:00,Triggered
95,684,Unsafe Market,2025-01-04 22:00:00,2025-01-04 23:00:00,Resolved
96,59,Border Zone,2025-01-04 23:00:00,2025-01-05 00:00:00,Resolved
97,863,Unsafe Market,2025-01-05 00:00:00,2025-01-05 01:00:00,Resolved
98,350,Cliff Area,2025-01-05 01:00:00,2025-01-05 02:00:00,Resolved
99,823,Unsafe Market,2025-01-05 02:00:00,2025-01-05 03:00:00,Resolved
100,801,Construction Site,2025-01-05 03:00:00,2025-01-05 04:00:00,Resolved
101,747,Construction Site,2025-01-05 04:00:00,2025-01-05 05:00:00,Triggered
102,307,Unsafe Market,2025-01-05 05:00:00,2025-01-05 06:00:00,Resolved
103,372,Construction Site,2025-01-05 06:00:00,2025-01-05 07:00:00,Triggered
104,864,Unsafe Market,2025-01-05 07:00:00,2025-01-05 08:00:00,Resolved
105,770,Cliff Area,2025-01-05 08:00:00,2025-01-05 09:00:00,Resolved
106,876,Cliff Area,2025-01-05 09:00:00,2025-01-05 10:00:00,Triggered
107,572,Border Zone,2025-01-05 10:00:00,2025-01-05 11:00:00,Triggered
108,631,Unsafe Market,2025-01-05 11:00:00,2025-01-05 12:00:00,Triggered
109,422,Construction Site,2025-01-05 12:00:00,2025-01-05 13:00:00,Triggered
110,81,Construction Site,2025-01-05 13:00:00,2025-01-05 14:00:00,Resolved
111,924,Unsafe Market,2025-01-05 14:00:00,2025-01-05 15:00:00,Resolved
112,125,Cliff Area,2025-01-05 15:00:00,2025-01-05 16:00:00,Triggered
113,87,Border Zone,2025-01-05 16:00:00,2025-01-05 17:00:00,Resolved
114,265,Construction Site,2025-01-05 17:00:00,2025-01-05 18:00:00,Triggered
115,387,Construction Site,2025-01-05 18:00:00,2025-01-05 19:00:00,Triggered
116,654,Unsafe Market,2025-01-05 19:00:00,2025-01-05 20:00:00,Triggered
117,361,Border Zone,2025-01-05 20:00:00,2025-01-05 21:00:00,Resolved
118,920,Border Zone,2025-01-05 21:00:00,2025-01-05 22:00:00,Triggered
119,919,Construction Site,2025-01-05 22:00:00,2025-01-05 23:00:00,Resolved
120,433,Cliff Area,2025-01-05 23:00:00,2025-01-06 00:00:00,Resolved
121,852,Border Zone,2025-01-06 00:00:00,2025-01-06 01:00:00,Resolved
122,53,Unsafe Market,2025-01-06 01:00:00,2025-01-06 02:00:00,Triggered
123,115,Construction Site,2025-01-06 02:00:00,2025-01-06 03:00:00,Triggered
124,936,Border Zone,2025-01-06 03:00:00,2025-01-06 04:00:00,Resolved
125,691,Construction Site,2025-01-06 04:00:00,2025-01-06 05:00:00,Triggered
126,661,Unsafe Market,2025-01-06 05:00:00,2025-01-06 06:00:00,Resolved
127,390,Unsafe Market,2025-01-06 06:00:00,2025-01-06 07:00:00,Triggered
128,433,Cliff Area,2025-01-06 07:00:00,2025-01-06 08:00:00,Triggered
129,239,Construction Site,2025-01-06 08:00:00,2025-01-06 09:00:00,Triggered
130,56,Cliff Area,2025-01-06 09:00:00,2025-01-06 10:00:00,Triggered
131,731,Unsafe Market,2025-01-06 10:00:00,2025-01-06 11:00:00,Resolved
132,306,Cliff Area,2025-01-06 11:00:00,2025-01-06 12:00:00,Resolved
133,226,Cliff Area,2025-01-06 12:00:00,2025-01-06 13:00:00,Triggered
134,697,Cliff Area,2025-01-06 13:00:00,2025-01-06 14:00:00,Triggered
135,951,Construction Site,2025-01-06 14:00:00,2025-01-06 15:00:00,Resolved
136,744,Unsafe Market,2025-01-06 15:00:00,2025-01-06 16:00:00,Triggered
137,368,Border Zone,2025-01-06 16:00:00,2025-01-06 17:00:00,Resolved
138,37,Border Zone,2025-01-06 17:00:00,2025-01-06 18:00:00,Resolved
139,990,Border Zone,2025-01-06 18:00:00,2025-01-06 19:00:00,Resolved
140,802,Cliff Area,2025-01-06 19:00:00,2025-01-06 20:00:00,Triggered
141,728,Cliff Area,2025-01-06 20:00:00,2025-01-06 21:00:00,Resolved
142,345,Unsafe Market,2025-01-06 21:00:00,2025-01-06 22:00:00,Resolved
143,30,Cliff Area,2025-01-06 22:00:00,2025-01-06 23:00:00,Resolved
144,949,Cliff Area,2025-01-06 23:00:00,2025-01-07 00:00:00,Resolved
145,668,Border Zone,2025-01-07 00:00:00,2025-01-07 01:00:00,Triggered
146,471,Construction Site,2025-01-07 01:00:00,2025-01-07 02:00:00,Triggered
147,163,Cliff Area,2025-01-07 02:00:00,2025-01-07 03:00:00,Triggered
148,475,Border Zone,2025-01-07 03:00:00,2025-01-07 04:00:00,Triggered
149,342,Cliff Area,2025-01-07 04:00:00,2025-01-07 05:00:00,Resolved
150,225,Border Zone,2025-01-07 05:00:00,2025-01-07 06:00:00,Triggered
151,713,Border Zone,2025-01-07 06:00:00,2025-01-07 07:00:00,Triggered
152,912,Unsafe Market,2025-01-07 07:00:00,2025-01-07 08:00:00,Triggered
153,497,Cliff Area,2025-01-07 08:00:00,2025-01-07 09:00:00,Resolved
154,550,Construction Site,2025-01-07 09:00:00,2025-01-07 10:00:00,Triggered
155,180,Construction Site,2025-01-07 10:00:00,2025-01-07 11:00:00,Triggered
156,744,Cliff Area,2025-01-07 11:00:00,2025-01-07 12:00:00,Triggered
157,281,Unsafe Market,2025-01-07 12:00:00,2025-01-07 13:00:00,Resolved
158,232,Border Zone,2025-01-07 13:00:00,2025-01-07 14:00:00,Resolved
159,161,Construction Site,2025-01-07 14:00:00,2025-01-07 15:00:00,Triggered
160,987,Border Zone,2025-01-07 15:00:00,2025-01-07 16:00:00,Triggered
161,923,Unsafe Market,2025-01-07 16:00:00,2025-01-07 17:00:00,Resolved
162,890,Border Zone,2025-01-07 17:00:00,2025-01-07 18:00:00,Triggered
163,988,Cliff Area,2025-01-07 18:00:00,2025-01-07 19:00:00,Triggered
164,256,Cliff Area,2025-01-07 19:00:00,2025-01-07 20:00:00,Resolved
165,336,Construction Site,2025-01-07 20:00:00,2025-01-07 21:00:00,Resolved
166,160,Unsafe Market,2025-01-07 21:00:00,2025-01-07 22:00:00,Resolved
167,834,Border Zone,2025-01-07 22:00:00,2025-01-07 23:00:00,Triggered
168,916,Cliff Area,2025-01-07 23:00:00,2025-01-08 00:00:00,Resolved
169,502,Cliff Area,2025-01-08 00:00:00,2025-01-08 01:00:00,Resolved
170,688,Border Zone,2025-01-08 01:00:00,2025-01-08 02:00:00,Resolved
171,212,Border Zone,2025-01-08 02:00:00,2025-01-08 03:00:00,Resolved
172,707,Construction Site,2025-01-08 03:00:00,2025-01-08 04:00:00,Resolved
173,710,Cliff Area,2025-01-08 04:00:00,2025-01-08 05:00:00,Resolved
174,454,Construction Site,2025-01-08 05:00:00,2025-01-08 06:00:00,Triggered
175,256,Cliff Area,2025-01-08 06:00:00,2025-01-08 07:00:00,Triggered
176,354,Construction Site,2025-01-08 07:00:00,2025-01-08 08:00:00,Triggered
177,796,Border Zone,2025-01-08 08:00:00,2025-01-08 09:00:00,Resolved
178,719,Unsafe Market,2025-01-08 09:00:00,2025-01-08 10:00:00,Resolved
179,763,Construction Site,2025-01-08 10:00:00,2025-01-08 11:00:00,Triggered
180,661,Unsafe Market,2025-01-08 11:00:00,2025-01-08 12:00:00,Triggered
181,692,Construction Site,2025-01-08 12:00:00,2025-01-08 13:00:00,Resolved
182,202,Construction Site,2025-01-08 13:00:00,2025-01-08 14:00:00,Resolved
183,40,Border Zone,2025-01-08 14:00:00,2025-01-08 15:00:00,Resolved
184,727,Border Zone,2025-01-08 15:00:00,2025-01-08 16:00:00,Resolved
185,920,Cliff Area,2025-01-08 16:00:00,2025-01-08 17:00:00,Triggered
186,344,Border Zone,2025-01-08 17:00:00,2025-01-08 18:00:00,Triggered
187,303,Construction Site,2025-01-08 18:00:00,2025-01-08 19:00:00,Resolved
188,49,Cliff Area,2025-01-08 19:00:00,2025-01-08 20:00:00,Resolved
189,213,Construction Site,2025-01-08 20:00:00,2025-01-08 21:00:00,Resolved
190,575,Border Zone,2025-01-08 21:00:00,2025-01-08 22:00:00,Triggered
191,969,Cliff Area,2025-01-08 22:00:00,2025-01-08 23:00:00,Triggered
192,410,Unsafe Market,2025-01-08 23:00:00,2025-01-09 00:00:00,Triggered
193,353,Border Zone,2025-01-09 00:00:00,2025-01-09 01:00:00,Resolved
194,2,Construction Site,2025-01-09 01:00:00,2025-01-09 02:00:00,Triggered
195,460,Unsafe Market,2025-01-09 02:00:00,2025-01-09 03:00:00,Resolved
196,194,Unsafe Market,2025-01-09 03:00:00,2025-01-09 04:00:00,Resolved
197,68,Cliff Area,2025-01-09 04:00:00,2025-01-09 05:00:00,Triggered
198,407,Unsafe Market,2025-01-09 05:00:00,2025-01-09 06:00:00,Resolved
199,760,Border Zone,2025-01-09 06:00:00,2025-01-09 07:00:00,Triggered
200,872,Cliff Area,2025-01-09 07:00:00,2025-01-09 08:00:00,Resolved
201,454,Unsafe Market,2025-01-09 08:00:00,2025-01-09 09:00:00,Resolved
202,835,Unsafe Market,2025-01-09 09:00:00,2025-01-09 10:00:00,Resolved
203,23,Construction Site,2025-01-09 10:00:00,2025-01-09 11:00:00,Triggered
204,109,Cliff Area,2025-01-09 11:00:00,2025-01-09 12:00:00,Triggered
205,40,Border Zone,2025-01-09 12:00:00,2025-01-09 13:00:00,Triggered
206,62,Unsafe Market,2025-01-09 13:00:00,2025-01-09 14:00:00,Resolved
207,172,Unsafe Market,2025-01-09 14:00:00,2025-01-09 15:00:00,Triggered
208,712,Unsafe Market,2025-01-09 15:00:00,2025-01-09 16:00:00,Triggered
209,570,Construction Site,2025-01-09 16:00:00,2025-01-09 17:00:00,Triggered
210,637,Construction Site,2025-01-09 17:00:00,2025-01-09 18:00:00,Resolved
211,735,Cliff Area,2025-01-09 18:00:00,2025-01-09 19:00:00,Triggered
212,383,Unsafe Market,2025-01-09 19:00:00,2025-01-09 20:00:00,Resolved
213,656,Border Zone,2025-01-09 20:00:00,2025-01-09 21:00:00,Resolved
214,249,Border Zone,2025-01-09 21:00:00,2025-01-09 22:00:00,Triggered
215,4,Unsafe Market,2025-01-09 22:00:00,2025-01-09 23:00:00,Triggered
216,895,Construction Site,2025-01-09 23:00:00,2025-01-10 00:00:00,Resolved
217,36,Construction Site,2025-01-10 00:00:00,2025-01-10 01:00:00,Resolved
218,911,Border Zone,2025-01-10 01:00:00,2025-01-10 02:00:00,Resolved
219,473,Cliff Area,2025-01-10 02:00:00,2025-01-10 03:00:00,Triggered
220,921,Unsafe Market,2025-01-10 03:00:00,2025-01-10 04:00:00,Resolved
221,697,Construction Site,2025-01-10 04:00:00,2025-01-10 05:00:00,Triggered
222,554,Cliff Area,2025-01-10 05:00:00,2025-01-10 06:00:00,Resolved
223,479,Border Zone,2025-01-10 06:00:00,2025-01-10 07:00:00,Triggered
224,334,Construction Site,2025-01-10 07:00:00,2025-01-10 08:00:00,Resolved
225,252,Cliff Area,2025-01-10 08:00:00,2025-01-10 09:00:00,Triggered
226,831,Unsafe Market,2025-01-10 09:00:00,2025-01-10 10:00:00,Resolved
227,748,Border Zone,2025-01-10 10:00:00,2025-01-10 11:00:00,Resolved
228,342,Cliff Area,2025-01-10 11:00:00,2025-01-10 12:00:00,Resolved
229,251,Construction Site,2025-01-10 12:00:00,2025-01-10 13:00:00,Triggered
230,770,Border Zone,2025-01-10 13:00:00,2025-01-10 14:00:00,Triggered
231,518,Construction Site,2025-01-10 14:00:00,2025-01-10 15:00:00,Resolved
232,619,Unsafe Market,2025-01-10 15:00:00,2025-01-10 16:00:00,Triggered
233,121,Cliff Area,2025-01-10 16:00:00,2025-01-10 17:00:00,Resolved
234,75,Cliff Area,2025-01-10 17:00:00,2025-01-10 18:00:00,Triggered
235,403,Construction Site,2025-01-10 18:00:00,2025-01-10 19:00:00,Resolved
236,768,Cliff Area,2025-01-10 19:00:00,2025-01-10 20:00:00,Resolved
237,433,Unsafe Market,2025-01-10 20:00:00,2025-01-10 21:00:00,Triggered
238,681,Unsafe Market,2025-01-10 21:00:00,2025-01-10 22:00:00,Resolved
239,952,Unsafe Market,2025-01-10 22:00:00,2025-01-10 23:00:00,Resolved
240,288,Unsafe Market,2025-01-10 23:00:00,2025-01-11 00:00:00,Triggered
241,674,Border Zone,2025-01-11 00:00:00,2025-01-11 01:00:00,Triggered
242,200,Construction Site,2025-01-11 01:00:00,2025-01-11 02:00:00,Triggered
243,263,Cliff Area,2025-01-11 02:00:00,2025-01-11 03:00:00,Resolved
244,96,Cliff Area,2025-01-11 03:00:00,2025-01-11 04:00:00,Triggered
245,167,Unsafe Market,2025-01-11 04:00:00,2025-01-11 05:00:00,Resolved
246,458,Construction Site,2025-01-11 05:00:00,2025-01-11 06:00:00,Resolved
247,814,Unsafe Market,2025-01-11 06:00:00,2025-01-11 07:00:00,Resolved
248,532,Unsafe Market,2025-01-11 07:00:00,2025-01-11 08:00:00,Triggered
249,989,Cliff Area,2025-01-11 08:00:00,2025-01-11 09:00:00,Resolved
250,211,Cliff Area,2025-01-11 09:00:00,2025-01-11 10:00:00,Resolved
251,70,Construction Site,2025-01-11 10:00:00,2025-01-11 11:00:00,Resolved
252,406,Border Zone,2025-01-11 11:00:00,2025-01-11 12:00:00,Resolved
253,16,Cliff Area,2025-01-11 12:00:00,2025-01-11 13:00:00,Resolved
254,549,Border Zone,2025-01-11 13:00:00,2025-01-11 14:00:00,Triggered
255,362,Cliff Area,2025-01-11 14:00:00,2025-01-11 15:00:00,Resolved
256,292,Unsafe Market,2025-01-11 15:00:00,2025-01-11 16:00:00,Resolved
257,291,Cliff Area,2025-01-11 16:00:00,2025-01-11 17:00:00,Triggered
258,195,Cliff Area,2025-01-11 17:00:00,2025-01-11 18:00:00,Triggered
259,890,Construction Site,2025-01-11 18:00:00,2025-01-11 19:00:00,Resolved
260,203,Border Zone,2025-01-11 19:00:00,2025-01-11 20:00:00,Triggered
261,724,Border Zone,2025-01-11 20:00:00,2025-01-11 21:00:00,Triggered
262,833,Cliff Area,2025-01-11 21:00:00,2025-01-11 22:00:00,Resolved
263,5,Construction Site,2025-01-11 22:00:00,2025-01-11 23:00:00,Resolved
264,236,Cliff Area,2025-01-11 23:00:00,2025-01-12 00:00:00,Triggered
265,176,Cliff Area,2025-01-12 00:00:00,2025-01-12 01:00:00,Resolved
266,509,Unsafe Market,2025-01-12 01:00:00,2025-01-12 02:00:00,Resolved
267,630,Cliff Area,2025-01-12 02:00:00,2025-01-12 03:00:00,Resolved
268,377,Construction Site,2025-01-12 03:00:00,2025-01-12 04:00:00,Triggered
269,724,Cliff Area,2025-01-12 04:00:00,2025-01-12 05:00:00,Triggered
270,86,Construction Site,2025-01-12 05:00:00,2025-01-12 06:00:00,Triggered
271,161,Cliff Area,2025-01-12 06:00:00,2025-01-12 07:00:00,Triggered
272,385,Border Zone,2025-01-12 07:00:00,2025-01-12 08:00:00,Resolved
273,554,Unsafe Market,2025-01-12 08:00:00,2025-01-12 09:00:00,Triggered
274,252,Unsafe Market,2025-01-12 09:00:00,2025-01-12 10:00:00,Triggered
275,449,Unsafe Market,2025-01-12 10:00:00,2025-01-12 11:00:00,Triggered
276,559,Cliff Area,2025-01-12 11:00:00,2025-01-12 12:00:00,Resolved
277,428,Construction Site,2025-01-12 12:00:00,2025-01-12 13:00:00,Resolved
278,10,Construction Site,2025-01-12 13:00:00,2025-01-12 14:00:00,Resolved
279,358,Unsafe Market,2025-01-12 14:00:00,2025-01-12 15:00:00,Triggered
280,33,Construction Site,2025-01-12 15:00:00,2025-01-12 16:00:00,Resolved
281,192,Construction Site,2025-01-12 16:00:00,2025-01-12 17:00:00,Resolved
282,30,Construction Site,2025-01-12 17:00:00,2025-01-12 18:00:00,Resolved
283,998,Border Zone,2025-01-12 18:00:00,2025-01-12 19:00:00,Triggered
284,580,Unsafe Market,2025-01-12 19:00:00,2025-01-12 20:00:00,Triggered
285,822,Cliff Area,2025-01-12 20:00:00,2025-01-12 21:00:00,Resolved
286,189,Border Zone,2025-01-12 21:00:00,2025-01-12 22:00:00,Triggered
287,71,Construction Site,2025-01-12 22:00:00,2025-01-12 23:00:00,Resolved
288,143,Cliff Area,2025-01-12 23:00:00,2025-01-13 00:00:00,Triggered
289,451,Construction Site,2025-01-13 00:00:00,2025-01-13 01:00:00,Triggered
290,805,Cliff Area,2025-01-13 01:00:00,2025-01-13 02:00:00,Resolved
291,97,Construction Site,2025-01-13 02:00:00,2025-01-13 03:00:00,Resolved
292,825,Border Zone,2025-01-13 03:00:00,2025-01-13 04:00:00,Resolved
293,745,Border Zone,2025-01-13 04:00:00,2025-01-13 05:00:00,Resolved
294,199,Construction Site,2025-01-13 05:00:00,2025-01-13 06:00:00,Triggered
295,184,Border Zone,2025-01-13 06:00:00,2025-01-13 07:00:00,Triggered
296,735,Construction Site,2025-01-13 07:00:00,2025-01-13 08:00:00,Triggered
297,401,Unsafe Market,2025-01-13 08:00:00,2025-01-13 09:00:00,Triggered
298,2,Border Zone,2025-01-13 09:00:00,2025-01-13 10:00:00,Triggered
299,178,Cliff Area,2025-01-13 10:00:00,2025-01-13 11:00:00,Resolved
300,446,Border Zone,2025-01-13 11:00:00,2025-01-13 12:00:00,Resolved
301,918,Unsafe Market,2025-01-13 12:00:00,2025-01-13 13:00:00,Triggered
302,807,Cliff Area,2025-01-13 13:00:00,2025-01-13 14:00:00,Resolved
303,885,Unsafe Market,2025-01-13 14:00:00,2025-01-13 15:00:00,Triggered
304,190,Construction Site,2025-01-13 15:00:00,2025-01-13 16:00:00,Resolved
305,783,Border Zone,2025-01-13 16:00:00,2025-01-13 17:00:00,Triggered
306,287,Construction Site,2025-01-13 17:00:00,2025-01-13 18:00:00,Resolved
307,741,Construction Site,2025-01-13 18:00:00,2025-01-13 19:00:00,Triggered
308,26,Unsafe Market,2025-01-13 19:00:00,2025-01-13 20:00:00,Resolved
309,879,Border Zone,2025-01-13 20:00:00,2025-01-13 21:00:00,Resolved
310,473,Cliff Area,2025-01-13 21:00:00,2025-01-13 22:00:00,Triggered
311,150,Construction Site,2025-01-13 22:00:00,2025-01-13 23:00:00,Resolved
312,157,Unsafe Market,2025-01-13 23:00:00,2025-01-14 00:00:00,Resolved
313,493,Unsafe Market,2025-01-14 00:00:00,2025-01-14 01:00:00,Resolved
314,882,Construction Site,2025-01-14 01:00:00,2025-01-14 02:00:00,Triggered
315,162,Construction Site,2025-01-14 02:00:00,2025-01-14 03:00:00,Triggered
316,922,Border Zone,2025-01-14 03:00:00,2025-01-14 04:00:00,Triggered
317,459,Unsafe Market,2025-01-14 04:00:00,2025-01-14 05:00:00,Triggered
318,375,Border Zone,2025-01-14 05:00:00,2025-01-14 06:00:00,Resolved
319,666,Border Zone,2025-01-14 06:00:00,2025-01-14 07:00:00,Triggered
320,417,Construction Site,2025-01-14 07:00:00,2025-01-14 08:00:00,Triggered
321,656,Border Zone,2025-01-14 08:00:00,2025-01-14 09:00:00,Resolved
322,23,Cliff Area,2025-01-14 09:00:00,2025-01-14 10:00:00,Resolved
323,948,Cliff Area,2025-01-14 10:00:00,2025-01-14 11:00:00,Resolved
324,44,Cliff Area,2025-01-14 11:00:00,2025-01-14 12:00:00,Resolved
325,892,Unsafe Market,2025-01-14 12:00:00,2025-01-14 13:00:00,Resolved
326,684,Construction Site,2025-01-14 13:00:00,2025-01-14 14:00:00,Resolved
327,298,Unsafe Market,2025-01-14 14:00:00,2025-01-14 15:00:00,Triggered
328,186,Cliff Area,2025-01-14 15:00:00,2025-01-14 16:00:00,Triggered
329,200,Unsafe Market,2025-01-14 16:00:00,2025-01-14 17:00:00,Triggered
330,132,Border Zone,2025-01-14 17:00:00,2025-01-14 18:00:00,Triggered
331,784,Cliff Area,2025-01-14 18:00:00,2025-01-14 19:00:00,Resolved
332,343,Unsafe Market,2025-01-14 19:00:00,2025-01-14 20:00:00,Triggered
333,65,Construction Site,2025-01-14 20:00:00,2025-01-14 21:00:00,Triggered
