SOS_ID,Tourist_ID,SOS_Type,SOS_Time,Response_Time_Minutes,Resolved
109,235,Theft,2025-01-10 00:00:00,49,Yes
110,342,Natural Disaster,2025-01-10 02:00:00,24,Yes
111,663,Health,2025-01-10 04:00:00,2,No
112,345,Theft,2025-01-10 06:00:00,10,No
113,155,Natural Disaster,2025-01-10 08:00:00,16,Yes
114,123,Safety,2025-01-10 10:00:00,38,Yes
115,468,Health,2025-01-10 12:00:00,54,Yes
116,386,Health,2025-01-10 14:00:00,56,Yes
117,763,Natural Disaster,2025-01-10 16:00:00,33,No
118,565,Health,2025-01-10 18:00:00,30,No
119,37,Theft,2025-01-10 20:00:00,11,No
120,664,Natural Disaster,2025-01-10 22:00:00,15,No
121,124,Natural Disaster,2025-01-11 00:00:00,59,No
122,915,Natural Disaster,2025-01-11 02:00:00,57,No
123,524,Natural Disaster,2025-01-11 04:00:00,49,No
124,687,Theft,2025-01-11 06:00:00,35,Yes
125,172,Health,2025-01-11 08:00:00,23,Yes
126,493,Health,2025-01-11 10:00:00,26,Yes
127,855,Natural Disaster,2025-01-11 12:00:00,52,No
128,763,Safety,2025-01-11 14:00:00,48,No
129,928,Natural Disaster,2025-01-11 16:00:00,22,No
130,962,Health,2025-01-11 18:00:00,29,Yes
131,401,Natural Disaster,2025-01-11 20:00:00,19,No
132,990,Natural Disaster,2025-01-11 22:00:00,29,Yes
133,646,Safety,2025-01-12 00:00:00,35,No
134,783,Natural Disaster,2025-01-12 02:00:00,2,No
135,678,Health,2025-01-12 04:00:00,26,Yes
136,511,Health,2025-01-12 06:00:00,54,No
137,59,Theft,2025-01-12 08:00:00,41,Yes
138,74,Safety,2025-01-12 10:00:00,55,No
139,814,Theft,2025-01-12 12:00:00,51,Yes
140,466,Safety,2025-01-12 14:00:00,38,No
141,550,Safety,2025-01-12 16:00:00,43,No
142,905,Theft,2025-01-12 18:00:00,9,No
143,873,Natural Disaster,2025-01-12 20:00:00,26,Yes
144,535,Natural Disaster,2025-01-12 22:00:00,2,No
145,183,Theft,2025-01-13 00:00:00,23,No
146,744,Health,2025-01-13 02:00:00,10,Yes
147,881,Theft,2025-01-13 04:00:00,4,No
148,613,Safety,2025-01-13 06:00:00,49,Yes
149,888,Safety,2025-01-13 08:00:00,17,Yes
150,251,Natural Disaster,2025-01-13 10:00:00,47,Yes
151,951,Natural Disaster,2025-01-13 12:00:00,44,No
152,579,Natural Disaster,2025-01-13 14:00:00,14,No
153,794,Safety,2025-01-13 16:00:00,6,No
154,69,Health,2025-01-13 18:00:00,45,No
155,982,Natural Disaster,2025-01-13 20:00:00,41,No
156,228,Safety,2025-01-13 22:00:00,10,No
157,657,Theft,2025-01-14 00:00:00,2,No
158,320,Theft,2025-01-14 02:00:00,22,No
159,902,Natural Disaster,2025-01-14 04:00:00,55,Yes
160,875,Theft,2025-01-14 06:00:00,22,Yes
161,847,Safety,2025-01-14 08:00:00,5,Yes
162,247,Theft,2025-01-14 10:00:00,37,No
163,301,Theft,2025-01-14 12:00:00,7,Yes
164,862,Safety,2025-01-14 14:00:00,34,Yes
165,744,Natural Disaster,2025-01-14 16:00:00,5,Yes
166,191,Safety,2025-01-14 18:00:00,55,Yes
167,931,Natural Disaster,2025-01-14 20:00:00,30,No
168,810,Theft,2025-01-14 22:00:00,33,Yes
169,650,Theft,2025-01-15 00:00:00,17,No
170,950,Safety,2025-01-15 02:00:00,9,No
171,390,Safety,2025-01-15 04:00:00,14,No
172,897,Natural Disaster,2025-01-15 06:00:00,28,Yes
173,9,Theft,2025-01-15 08:00:00,33,No
174,912,Safety,2025-01-15 10:00:00,23,Yes
175,592,Safety,2025-01-15 12:00:00,33,Yes
176,869,Theft,2025-01-15 14:00:00,53,Yes
177,225,Health,2025-01-15 16:00:00,3,No
178,247,Health,2025-01-15 18:00:00,32,No
179,235,Theft,2025-01-15 20:00:00,11,No
180,491,Health,2025-01-15 22:00:00,32,No
181,461,Natural Disaster,2025-01-16 00:00:00,27,Yes
182,612,Health,2025-01-16 02:00:00,52,No
183,67,Theft,2025-01-16 04:00:00,59,Yes
184,597,Natural Disaster,2025-01-16 06:00:00,36,No
185,573,Natural Disaster,2025-01-16 08:00:00,40,No
186,688,Natural Disaster,2025-01-16 10:00:00,21,Yes
187,535,Safety,2025-01-16 12:00:00,14,Yes
188,353,Safety,2025-01-16 14:00:00,45,No
189,609,Safety,2025-01-16 16:00:00,49,No
190,203,Natural Disaster,2025-01-16 18:00:00,3,No
191,150,Natural Disaster,2025-01-16 20:00:00,23,No
192,218,Natural Disaster,2025-01-16 22:00:00,18,No
193,859,Safety,2025-01-17 00:00:00,37,Yes
194,653,Natural Disaster,2025-01-17 02:00:00,28,Yes
195,74,Natural Disaster,2025-01-17 04:00:00,37,No
196,904,Natural Disaster,2025-01-17 06:00:00,29,No
197,339,Safety,2025-01-17 08:00:00,36,Yes
198,236,Theft,2025-01-17 10:00:00,28,Yes
199,822,Health,2025-01-17 12:00:00,46,Yes
200,282,Theft,2025-01-17 14:00:00,53,Yes
201,632,Natural Disaster,2025-01-17 16:00:00,51,No
202,496,Theft,2025-01-17 18:00:00,5,Yes
203,152,Natural Disaster,2025-01-17 20:00:00,55,Yes
204,765,Natural Disaster,2025-01-17 22:00:00,41,Yes
205,748,Health,2025-01-18 00:00:00,16,Yes
206,570,Natural Disaster,2025-01-18 02:00:00,23,No
207,380,Theft,2025-01-18 04:00:00,6,No
208,181,Theft,2025-01-18 06:00:00,4,Yes
209,740,Safety,2025-01-18 08:00:00,2,No
210,324,Theft,2025-01-18 10:00:00,6,No
211,757,Theft,2025-01-18 12:00:00,51,Yes
212,403,Health,2025-01-18 14:00:00,56,Yes
213,971,Safety,2025-01-18 16:00:00,36,No
214,687,Health,2025-01-18 18:00:00,20,No
215,905,Health,2025-01-18 20:00:00,34,Yes
216,871,Natural Disaster,2025-01-18 22:00:00,42,No
217,693,Health,2025-01-19 00:00:00,38,Yes
218,191,Health,2025-01-19 02:00:00,27,No
219,621,Theft,2025-01-19 04:00:00,4,Yes
220,108,Health,2025-01-19 06:00:00,14,Yes
221,174,Natural Disaster,2025-01-19 08:00:00,2,Yes
222,214,Safety,2025-01-19 10:00:00,10,Yes
223,960,Natural Disaster,2025-01-19 12:00:00,55,Yes
224,570,Theft,2025-01-19 14:00:00,29,No
225,402,Natural Disaster,2025-01-19 16:00:00,10,Yes
226,81,Theft,2025-01-19 18:00:00,46,No
227,477,Safety,2025-01-19 20:00:00,12,Yes
228,334,Natural Disaster,2025-01-19 22:00:00,27,No
229,743,Health,2025-01-20 00:00:00,16,Yes
230,589,Theft,2025-01-20 02:00:00,13,No
231,759,Health,2025-01-20 04:00:00,17,No
232,200,Natural Disaster,2025-01-20 06:00:00,27,No
233,794,Natural Disaster,2025-01-20 08:00:00,34,No
234,298,Natural Disaster,2025-01-20 10:00:00,52,Yes
235,394,Health,2025-01-20 12:00:00,22,No
236,349,Safety,2025-01-20 14:00:00,33,Yes
237,506,Health,2025-01-20 16:00:00,35,Yes
238,644,Theft,2025-01-20 18:00:00,19,Yes
239,34,Natural Disaster,2025-01-20 20:00:00,14,No
240,183,Theft,2025-01-20 22:00:00,32,No
241,514,Natural Disaster,2025-01-21 00:00:00,14,No
242,750,Theft,2025-01-21 02:00:00,49,No
243,106,Safety,2025-01-21 04:00:00,52,Yes
244,910,Theft,2025-01-21 06:00:00,37,Yes
245,724,Theft,2025-01-21 08:00:00,42,No
246,998,Health,2025-01-21 10:00:00,19,No
247,928,Theft,2025-01-21 12:00:00,58,No
248,287,Safety,2025-01-21 14:00:00,16,No
249,498,Natural Disaster,2025-01-21 16:00:00,36,Yes
250,819,Natural Disaster,2025-01-21 18:00:00,26,No
251,595,Safety,2025-01-21 20:00:00,21,Yes
252,893,Safety,2025-01-21 22:00:00,18,Yes
253,280,Natural Disaster,2025-01-22 00:00:00,57,Yes
254,104,Theft,2025-01-22 02:00:00,14,Yes
255,572,Natural Disaster,2025-01-22 04:00:00,28,Yes
256,923,Health,2025-01-22 06:00:00,6,Yes
257,24,Theft,2025-01-22 08:00:00,13,No
258,979,Theft,2025-01-22 10:00:00,40,No
259,279,Natural Disaster,2025-01-22 12:00:00,38,No
260,333,Safety,2025-01-22 14:00:00,12,No
261,53,Safety,2025-01-22 16:00:00,54,No
262,819,Safety,2025-01-22 18:00:00,38,No
263,147,Natural Disaster,2025-01-22 20:00:00,4,Yes
264,293,Natural Disaster,2025-01-22 22:00:00,13,Yes
265,608,Safety,2025-01-23 00:00:00,18,Yes
266,335,Health,2025-01-23 02:00:00,10,No
267,751,Safety,2025-01-23 04:00:00,9,No
268,808,Natural Disaster,2025-01-23 06:00:00,2,No
269,269,Theft,2025-01-23 08:00:00,30,No
270,715,Natural Disaster,2025-01-23 10:00:00,21,Yes
271,32,Health,2025-01-23 12:00:00,35,No
272,436,Safety,2025-01-23 14:00:00,48,No
273,856,Theft,2025-01-23 16:00:00,53,No
274,524,Theft,2025-01-23 18:00:00,59,No
275,237,Natural Disaster,2025-01-23 20:00:00,12,No
276,620,Safety,2025-01-23 22:00:00,37,No
277,687,Safety,2025-01-24 00:00:00,5,No
278,285,Natural Disaster,2025-01-24 02:00:00,10,Yes
279,822,Theft,2025-01-24 04:00:00,36,Yes
280,703,Safety,2025-01-24 06:00:00,19,No
281,54,Health,2025-01-24 08:00:00,20,No
282,6,Natural Disaster,2025-01-24 10:00:00,47,No
283,589,Safety,2025-01-24 12:00:00,27,Yes
284,177,Theft,2025-01-24 14:00:00,44,Yes
285,530,Theft,2025-01-24 16:00:00,30,Yes
286,961,Health,2025-01-24 18:00:00,47,Yes
287,682,Theft,2025-01-24 20:00:00,10,No
288,816,Safety,2025-01-24 22:00:00,8,Yes
289,637,Theft,2025-01-25 00:00:00,39,Yes
290,368,Health,2025-01-25 02:00:00,22,No
291,891,Safety,2025-01-25 04:00:00,24,No
292,610,Health,2025-01-25 06:00:00,14,No
293,390,Health,2025-01-25 08:00:00,32,Yes
294,791,Safety,2025-01-25 10:00:00,17,No
295,767,Safety,2025-01-25 12:00:00,8,No
296,145,Natural Disaster,2025-01-25 14:00:00,21,Yes
297,188,Health,2025-01-25 16:00:00,30,Yes
298,418,Theft,2025-01-25 18:00:00,32,Yes
299,119,Health,2025-01-25 20:00:00,43,No
300,513,Health,2025-01-25 22:00:00,18,Yes
