Tourist_ID,Timestamp,Heart_Rate,Body_Temp_C,Steps,SOS_Button
T0188,2025-09-02 18:50:21,62,37.4,9802,0
T0188,2025-09-02 11:44:45,106,36.9,9684,0
T0188,2025-09-01 02:41:02,90,36.4,14263,0
T0188,2025-09-07 03:04:31,80,37.8,14287,0
T0188,2025-09-05 12:21:50,61,36.5,3741,0
T0188,2025-09-07 10:24:45,61,36.1,11823,0
T0188,2025-09-06 00:39:51,118,37.1,1643,0
T0188,2025-09-06 05:56:43,63,38.2,4721,0
T0188,2025-09-02 07:48:20,110,37.5,8486,0
T0188,2025-09-05 10:28:32,105,37.9,11059,0
T0188,2025-09-05 09:09:02,82,38.2,9001,0
T0188,2025-09-03 12:24:14,101,37.4,6227,0
T0188,2025-09-01 04:09:10,66,36.5,3925,0
T0026,2025-09-06 03:17:31,102,36.1,14118,0
T0026,2025-09-04 12:53:09,62,37.9,11843,0
T0026,2025-09-07 07:22:23,64,36.6,6761,1
T0026,2025-09-02 11:50:58,75,37.2,2759,1
T0026,2025-09-04 13:15:26,71,37.9,13210,0
T0026,2025-09-04 17:49:39,73,38.6,14153,0
T0026,2025-09-01 05:34:25,99,37.9,4388,1
T0026,2025-09-07 09:12:34,71,37.5,13852,0
T0026,2025-09-02 22:02:41,61,38.7,3842,0
T0026,2025-09-04 12:08:15,107,36.1,14489,0
T0026,2025-09-07 16:15:31,68,37.3,10049,1
T0026,2025-09-07 06:21:42,117,38.7,10258,0
T0026,2025-09-06 08:50:56,105,36.9,3291,1
T0026,2025-09-05 14:50:46,104,36.1,3447,0
T0026,2025-09-07 08:43:26,75,37.5,1231,0
T0026,2025-09-02 21:32:39,95,38.4,8366,0
T0026,2025-09-03 05:00:45,94,38.6,5048,0
T0026,2025-09-06 20:28:30,84,37.7,2338,0
T0026,2025-09-04 09:29:19,68,36.8,4683,0
T0026,2025-09-05 17:26:35,101,36.7,13128,0
T0114,2025-09-06 04:29:23,96,38.0,3765,1
T0114,2025-09-04 20:38:05,89,38.9,1875,0
T0114,2025-09-06 17:39:45,68,37.9,2579,0
T0114,2025-09-03 10:25:43,87,36.3,3765,1
T0114,2025-09-03 02:11:28,94,38.6,2670,0
T0114,2025-09-03 04:26:44,107,38.9,14380,1
T0114,2025-09-03 07:40:28,67,38.3,9551,0
T0114,2025-09-06 07:38:33,65,37.0,2908,1
T0114,2025-09-06 13:11:31,108,38.0,5528,0
T0114,2025-09-07 01:51:52,91,38.9,8620,0
T0114,2025-09-07 21:46:10,90,38.4,8396,0
T0114,2025-09-07 04:54:45,68,37.2,5892,0
T0114,2025-09-01 13:37:41,101,38.7,14062,0
T0114,2025-09-07 12:55:42,117,38.8,3709,0
T0114,2025-09-07 09:18:27,111,37.0,13967,1
T0114,2025-09-04 00:12:13,119,37.2,14281,0
T0114,2025-09-05 12:06:05,62,37.1,4252,0
T0114,2025-09-04 01:00:08,105,38.6,10141,0
T0114,2025-09-04 07:15:52,77,36.6,13851,1
T0114,2025-09-06 18:51:01,109,36.5,11972,0
T0069,2025-09-01 02:58:37,102,36.5,11210,1
T0069,2025-09-07 15:08:32,120,36.0,3846,0
T0069,2025-09-05 19:13:37,67,38.6,10616,0
T0069,2025-09-03 11:55:09,114,37.6,3464,0
T0069,2025-09-07 00:45:16,115,37.9,1566,0
T0069,2025-09-01 18:53:30,77,38.4,13302,1
T0069,2025-09-02 23:36:04,80,38.4,9186,0
T0069,2025-09-06 02:08:56,100,38.2,6713,0
T0069,2025-09-07 16:55:21,104,37.3,1441,0
T0069,2025-09-05 17:58:22,93,37.2,2935,0
T0069,2025-09-07 13:23:40,62,36.0,8417,1
T0069,2025-09-05 09:59:41,86,37.0,10921,0
T0069,2025-09-04 16:00:00,68,36.0,12439,0
T0069,2025-09-02 09:43:59,78,38.8,12618,0
T0069,2025-09-06 07:20:23,84,38.9,3974,1
T0069,2025-09-01 11:22:23,84,36.3,14364,0
T0069,2025-09-03 13:39:57,120,37.5,10574,0
T0069,2025-09-07 14:22:59,78,37.2,2882,0
T0069,2025-09-02 12:21:40,97,37.2,12981,0
T0069,2025-09-01 11:26:07,75,36.4,7453,0
T0067,2025-09-04 20:53:04,114,36.8,13130,0
T0067,2025-09-07 02:16:12,72,37.1,6062,0
T0067,2025-09-03 19:09:12,115,36.4,11783,0
T0067,2025-09-07 07:31:12,85,36.8,4297,0
T0067,2025-09-01 16:26:17,111,37.4,12811,0
T0067,2025-09-02 18:42:17,114,36.4,7646,0
T0067,2025-09-01 08:24:36,87,38.8,6795,0
T0067,2025-09-02 13:49:00,80,38.9,5739,0
T0067,2025-09-04 03:41:38,115,37.9,3988,1
T0067,2025-09-01 12:56:17,103,38.5,7803,0
T0067,2025-09-04 10:07:54,70,36.5,1964,1
T0067,2025-09-01 04:18:09,103,38.7,14166,0
T0067,2025-09-01 13:59:47,67,36.6,6637,1
T0067,2025-09-02 23:57:48,112,38.1,5598,0
T0067,2025-09-07 12:37:27,98,36.5,5379,0
T0067,2025-09-06 15:56:10,63,37.9,9949,0
T0067,2025-09-01 10:05:29,112,36.1,5461,0
T0067,2025-09-07 09:10:01,77,36.6,2661,0
T0067,2025-09-01 12:39:26,87,37.7,13456,1
T0067,2025-09-07 02:54:39,82,38.9,6363,0
T0029,2025-09-02 12:30:54,102,38.6,14608,1
T0029,2025-09-01 08:45:46,73,36.7,11815,0
T0029,2025-09-07 11:54:59,107,38.1,1871,0
T0029,2025-09-06 00:41:28,95,38.6,7294,0
T0029,2025-09-07 20:37:43,65,38.4,2006,0
T0029,2025-09-01 22:44:14,81,37.8,8163,1
T0029,2025-09-05 07:05:57,85,38.3,3435,1
T0029,2025-09-05 18:53:07,81,37.7,13032,0
T0029,2025-09-04 16:37:09,86,36.2,7343,0
T0029,2025-09-05 08:49:55,87,36.7,6245,0
T0029,2025-09-07 16:06:44,70,37.4,10424,1
T0029,2025-09-02 04:48:12,101,38.8,7109,1
T0029,2025-09-07 14:10:38,76,36.2,13287,1
T0029,2025-09-03 02:15:34,107,38.5,3111,0
T0029,2025-09-04 15:10:49,110,37.8,1655,0
T0029,2025-09-05 06:53:33,84,38.4,3624,0
T0029,2025-09-02 20:52:04,98,36.4,6923,0
T0029,2025-09-06 12:25:44,91,37.1,6108,0
T0029,2025-09-05 02:22:38,87,38.4,7745,0
T0029,2025-09-04 23:31:31,99,37.9,3120,0
T0047,2025-09-02 05:29:13,66,36.3,5425,0
T0047,2025-09-03 11:11:12,83,37.6,6518,0
T0047,2025-09-05 17:19:34,117,36.6,12345,0
T0047,2025-09-06 23:47:52,82,37.0,3593,0
T0047,2025-09-02 09:18:42,109,37.0,9377,1
T0047,2025-09-02 17:25:15,68,36.1,7933,0
T0047,2025-09-05 16:52:38,88,36.1,3000,0
T0047,2025-09-06 13:37:42,78,37.0,7004,1
T0047,2025-09-05 01:08:24,95,36.6,10774,1
T0047,2025-09-04 06:22:54,111,38.5,9182,0
T0047,2025-09-02 10:36:36,88,37.9,8650,1
T0047,2025-09-03 14:59:04,70,38.6,5316,0
T0047,2025-09-03 04:00:43,105,39.0,13487,1
T0047,2025-09-05 08:21:13,95,37.7,14549,1
T0047,2025-09-06 01:18:57,112,39.0,12311,0
T0047,2025-09-06 22:59:29,65,36.5,13072,1
T0047,2025-09-04 17:08:01,95,36.5,4423,0
T0047,2025-09-01 01:11:55,78,37.3,3448,1
T0047,2025-09-06 15:17:33,96,36.3,8937,0
T0047,2025-09-01 00:45:49,66,37.4,6536,0
T0145,2025-09-03 03:53:27,70,38.4,9347,0
T0145,2025-09-04 05:03:33,114,38.5,12825,0
T0145,2025-09-02 18:54:04,80,38.9,6196,0
T0145,2025-09-07 19:36:49,103,37.7,2430,0
T0145,2025-09-06 21:53:29,67,37.4,13741,1
T0145,2025-09-06 23:04:11,109,37.1,4530,0
T0145,2025-09-01 03:18:53,98,37.8,10170,0
T0145,2025-09-03 12:57:21,107,36.6,7314,0
T0145,2025-09-06 15:24:27,87,37.1,7553,1
T0145,2025-09-05 15:15:24,108,36.2,11096,0
T0145,2025-09-06 01:25:06,90,37.6,1055,0
T0145,2025-09-01 15:06:17,111,37.1,14317,0
T0145,2025-09-06 15:40:22,93,38.0,10917,0
T0145,2025-09-04 12:09:53,78,37.4,13914,0
T0145,2025-09-02 00:21:32,117,36.6,9017,0
T0145,2025-09-04 21:33:12,89,36.8,1666,0
T0145,2025-09-02 07:52:26,64,37.3,1810,1
T0145,2025-09-02 14:08:36,101,37.1,3966,1
T0145,2025-09-02 10:53:47,71,38.9,7143,0
T0145,2025-09-05 10:18:14,86,39.0,7665,0
T0189,2025-09-07 15:16:32,66,36.4,14585,0
T0189,2025-09-06 09:07:52,96,38.4,6278,1
T0189,2025-09-05 19:58:53,62,38.3,6717,1
T0189,2025-09-04 09:43:48,90,36.4,1990,1
T0189,2025-09-05 01:43:04,111,38.3,14152,0
T0189,2025-09-01 12:42:06,67,38.6,9672,0
T0189,2025-09-04 16:05:42,87,37.7,2713,0
T0189,2025-09-01 17:05:42,97,37.3,9939,1
T0189,2025-09-02 02:01:55,81,38.1,1268,0
T0189,2025-09-03 15:05:25,83,38.3,3056,0
T0189,2025-09-01 21:02:03,72,37.4,10513,1
T0189,2025-09-03 02:41:46,96,36.9,12885,0
T0189,2025-09-07 03:31:06,112,37.0,13914,1
T0189,2025-09-01 08:06:45,103,37.4,6311,0
T0189,2025-09-07 06:50:31,100,37.4,14861,0
T0189,2025-09-02 19:04:50,82,36.6,5713,0
T0189,2025-09-04 16:48:55,60,37.4,9230,0
T0189,2025-09-07 02:15:50,109,37.3,10482,0
T0189,2025-09-07 04:29:14,102,36.1,12991,0
T0189,2025-09-05 12:36:25,97,37.7,3729,0
T0197,2025-09-01 18:02:16,103,38.9,6369,0
T0197,2025-09-07 04:39:03,86,38.4,4366,1
T0197,2025-09-02 21:15:13,63,36.3,12382,0
T0197,2025-09-02 10:26:41,106,36.1,8168,0
T0197,2025-09-05 23:45:12,119,37.2,5132,0
T0197,2025-09-01 20:32:58,92,38.3,11526,1
T0197,2025-09-02 18:49:26,72,38.1,14941,0
T0197,2025-09-06 11:32:45,97,37.1,8783,0
T0197,2025-09-05 06:57:31,115,37.1,10355,1
T0197,2025-09-05 13:28:31,68,37.3,13749,0
T0197,2025-09-01 23:32:32,105,36.5,5684,0
T0197,2025-09-06 08:42:26,70,37.9,6719,0
T0197,2025-09-04 14:26:01,118,38.0,8003,0
T0197,2025-09-03 23:34:58,105,38.5,5408,0
T0197,2025-09-05 07:40:35,60,36.7,1740,0
T0197,2025-09-06 03:08:59,96,37.5,9978,0
T0197,2025-09-04 22:21:26,118,36.9,5883,0
T0197,2025-09-01 08:16:59,74,38.3,9572,1
T0197,2025-09-05 08:11:24,118,37.4,6679,0
T0197,2025-09-02 10:48:35,120,36.9,4968,1
T0136,2025-09-04 16:29:17,62,37.8,7078,0
T0136,2025-09-07 13:24:34,60,36.9,6381,0
T0136,2025-09-01 14:25:41,86,38.8,5448,0
T0136,2025-09-06 02:51:15,102,37.1,10026,0
T0136,2025-09-05 02:59:44,83,38.6,12392,0
T0136,2025-09-05 15:05:47,65,36.9,8402,0
T0136,2025-09-05 10:26:24,66,38.5,10599,0
T0136,2025-09-01 10:38:51,88,36.6,10089,0
T0136,2025-09-01 08:17:07,90,38.8,1625,0
T0136,2025-09-07 11:38:40,107,39.0,8739,0
T0136,2025-09-07 19:06:43,80,38.5,4201,0
T0136,2025-09-01 05:03:19,98,37.4,14616,0
T0136,2025-09-07 09:17:50,108,37.2,9493,0
T0136,2025-09-06 08:45:48,78,36.3,7729,1
T0136,2025-09-04 20:05:35,78,37.3,1390,0
T0136,2025-09-07 06:54:24,90,38.2,5310,0
T0136,2025-09-07 12:41:10,61,36.2,8796,1
T0136,2025-09-06 23:04:11,108,38.1,2664,0
T0136,2025-09-05 19:21:16,100,36.9,7180,0
T0136,2025-09-02 09:19:48,101,38.1,8354,0
T0015,2025-09-07 06:17:53,108,37.2,1552,1
T0015,2025-09-06 22:05:04,120,36.1,3380,1
T0015,2025-09-04 14:31:41,113,37.7,7074,1
T0015,2025-09-05 09:30:20,106,39.0,2077,0
T0015,2025-09-01 03:57:15,94,36.2,11627,0
T0015,2025-09-01 01:12:07,78,38.2,14732,0
T0015,2025-09-04 02:24:39,79,38.7,14309,0
T0015,2025-09-06 20:58:50,89,38.7,12231,0
T0015,2025-09-01 15:46:46,100,36.2,3330,1
T0015,2025-09-02 07:47:38,88,36.9,14089,0
T0015,2025-09-02 15:55:36,100,38.3,11703,0
T0015,2025-09-07 20:07:30,67,38.5,6957,0
T0015,2025-09-07 17:03:34,114,36.2,9565,1
T0015,2025-09-05 22:09:01,90,37.4,10562,0
T0015,2025-09-04 14:01:37,110,37.1,5224,0
T0015,2025-09-06 22:20:08,65,36.4,14692,0
T0015,2025-09-04 10:23:20,107,37.4,5387,0
T0015,2025-09-02 03:38:27,80,36.0,3811,0
T0015,2025-09-03 00:30:19,99,37.9,10371,1
T0015,2025-09-06 17:44:05,109,37.1,4125,1
T0150,2025-09-04 20:55:26,107,36.6,9868,1
T0150,2025-09-04 15:17:32,101,37.6,5500,0
T0150,2025-09-04 18:40:37,83,38.4,6316,0
T0150,2025-09-04 13:28:23,92,37.4,12619,1
T0150,2025-09-03 16:11:49,109,37.1,4104,0
T0150,2025-09-04 02:52:04,68,36.5,5936,0
T0150,2025-09-03 13:38:12,82,36.7,6983,1
T0150,2025-09-03 14:58:23,71,38.3,3772,1
T0150,2025-09-07 05:10:59,62,38.5,5572,0
T0150,2025-09-05 12:13:43,90,38.9,13428,1
T0150,2025-09-07 03:54:57,78,37.6,11995,0
T0150,2025-09-05 23:40:08,71,36.0,5464,0
T0150,2025-09-02 15:04:33,81,38.2,13649,0
T0150,2025-09-01 08:59:48,117,38.9,4552,0
T0150,2025-09-05 17:39:42,114,36.9,12296,0
T0150,2025-09-06 08:04:40,89,36.2,5646,0
T0150,2025-09-04 19:34:02,71,36.4,14590,1
T0150,2025-09-06 11:23:08,73,37.6,8928,0
T0150,2025-09-01 21:20:23,76,38.5,6142,0
T0150,2025-09-06 09:22:26,64,36.6,5880,1
T0021,2025-09-06 03:33:52,119,36.9,2070,0
T0021,2025-09-02 13:04:04,92,37.5,2662,1
T0021,2025-09-05 04:10:56,61,37.6,2393,0
T0021,2025-09-05 03:07:42,74,38.4,4908,0
T0021,2025-09-03 07:38:33,77,37.2,8511,0
T0021,2025-09-01 06:45:15,79,38.8,12202,1
T0021,2025-09-04 23:56:45,79,36.8,1086,0
T0021,2025-09-03 06:10:32,111,36.9,13923,1
T0021,2025-09-01 04:30:24,107,38.6,10873,0
T0021,2025-09-05 21:41:39,108,38.3,12595,1
T0021,2025-09-02 01:33:26,89,37.8,10205,0
T0021,2025-09-02 14:49:35,107,39.0,7907,0
T0021,2025-09-07 13:36:35,100,36.6,8800,0
T0021,2025-09-06 18:27:49,92,39.0,8640,1
T0021,2025-09-03 19:06:10,74,37.2,3142,0
T0021,2025-09-03 08:08:22,111,38.3,8203,0
T0021,2025-09-01 02:31:43,112,36.9,11911,0
T0021,2025-09-07 13:56:42,112,38.2,5727,0
T0021,2025-09-07 12:25:38,70,38.7,9228,0
T0021,2025-09-07 19:30:54,61,38.9,1823,0
T0002,2025-09-01 06:44:28,104,36.9,5549,0
T0002,2025-09-04 23:40:33,105,37.5,13454,0
T0002,2025-09-01 02:42:42,77,36.5,4554,1
T0002,2025-09-02 07:35:31,63,38.3,13540,0
T0002,2025-09-04 09:51:41,80,36.7,1849,0
T0002,2025-09-02 14:48:27,97,38.1,2762,0
T0002,2025-09-07 04:30:12,90,37.9,11391,0
T0002,2025-09-06 23:13:47,76,37.3,11846,0
T0002,2025-09-04 01:34:55,93,36.9,11204,0
T0002,2025-09-02 21:06:53,62,37.1,7362,0
T0002,2025-09-04 20:09:16,70,36.8,7091,0
T0002,2025-09-06 09:33:29,73,36.9,11668,0
T0002,2025-09-06 16:46:34,116,36.2,4816,0
T0002,2025-09-02 04:38:22,116,37.3,1431,0
T0002,2025-09-05 23:00:13,72,36.5,4435,0
T0002,2025-09-04 15:38:48,70,36.4,8541,0
T0002,2025-09-05 09:08:03,110,37.6,6111,0
T0002,2025-09-04 00:43:32,95,38.7,1090,0
T0002,2025-09-05 18:46:43,94,36.5,1789,1
T0002,2025-09-02 02:29:25,66,37.0,8262,0
T0011,2025-09-06 22:06:49,120,38.8,8486,0
T0011,2025-09-01 11:14:41,117,38.5,2053,0
T0011,2025-09-03 06:25:12,86,37.0,3448,0
T0011,2025-09-07 00:24:45,68,36.0,2524,0
T0011,2025-09-01 20:46:05,79,38.9,4966,0
T0011,2025-09-02 07:14:34,105,36.9,3996,1
T0011,2025-09-03 06:06:51,84,37.2,11855,1
T0011,2025-09-04 07:34:57,91,36.5,12039,0
T0011,2025-09-07 20:22:18,97,37.0,2563,1
T0011,2025-09-05 01:13:06,89,37.1,8426,0
T0011,2025-09-02 21:43:37,88,37.4,1335,0
T0011,2025-09-02 05:36:37,83,36.6,8295,0
T0011,2025-09-06 03:04:35,69,37.9,9990,0
T0011,2025-09-02 14:34:22,92,37.3,3065,0
T0011,2025-09-05 11:32:15,80,36.5,4659,0
T0011,2025-09-01 13:25:17,99,37.6,14223,0
T0011,2025-09-04 19:35:57,115,37.4,4780,0
T0011,2025-09-01 13:51:47,100,37.8,9039,0
T0011,2025-09-03 15:55:37,71,36.3,7554,1
T0011,2025-09-06 19:21:58,112,36.4,11602,0
T0112,2025-09-07 00:14:57,111,37.9,3550,1
T0112,2025-09-07 01:11:39,90,38.9,12356,1
T0112,2025-09-07 13:21:23,99,37.3,13570,0
T0112,2025-09-03 19:10:54,74,39.0,5601,0
T0112,2025-09-06 09:17:58,112,38.7,7676,0
T0112,2025-09-06 18:22:30,102,37.1,8359,0
T0112,2025-09-04 01:46:09,60,36.2,4571,0
T0112,2025-09-01 18:21:51,115,38.6,4673,0
T0112,2025-09-04 14:35:54,93,36.7,4012,0
T0112,2025-09-01 13:27:13,77,37.8,11125,1
T0112,2025-09-01 09:20:39,99,39.0,6118,0
T0112,2025-09-02 17:37:20,65,37.1,9231,0
T0112,2025-09-01 18:09:00,86,36.7,4832,0
T0112,2025-09-06 04:30:19,82,38.8,2680,0
T0112,2025-09-03 13:39:31,117,36.4,10024,1
T0112,2025-09-02 17:44:26,102,38.9,13184,0
T0112,2025-09-04 13:05:20,85,37.0,3559,1
T0112,2025-09-04 15:34:46,78,36.7,1029,0
T0112,2025-09-01 17:10:16,110,37.0,11133,0
T0112,2025-09-06 10:20:55,92,38.1,13465,0
T0200,2025-09-05 13:05:00,115,37.7,7154,1
T0200,2025-09-04 04:26:41,85,37.6,5810,0
T0200,2025-09-02 07:56:07,63,36.1,14682,0
T0200,2025-09-04 19:09:26,66,37.0,12529,0
T0200,2025-09-04 13:09:21,106,36.2,4706,1
T0200,2025-09-06 05:02:50,99,38.5,10947,0
T0200,2025-09-05 02:12:54,69,38.9,5479,0
T0200,2025-09-05 11:34:45,76,37.0,2599,0
T0200,2025-09-04 00:40:30,120,38.7,6794,0
T0200,2025-09-06 04:04:51,84,38.4,12619,0
T0200,2025-09-07 03:28:29,78,37.7,2531,1
T0200,2025-09-01 13:36:37,109,38.8,3756,0
T0200,2025-09-01 04:22:35,77,38.5,13099,0
T0200,2025-09-01 18:19:39,69,36.1,13336,0
T0200,2025-09-02 17:34:10,120,38.5,12846,0
T0200,2025-09-04 05:54:35,75,36.4,6787,0
T0200,2025-09-02 18:25:40,104,38.7,4905,0
T0200,2025-09-02 10:41:47,103,36.9,8322,0
T0200,2025-09-05 15:01:18,65,38.8,3217,1
T0200,2025-09-06 14:55:03,60,37.2,12169,0
T0042,2025-09-02 16:17:51,61,36.4,4409,0
T0042,2025-09-06 05:31:04,68,37.6,6508,0
T0042,2025-09-04 07:33:18,89,37.8,4141,0
T0042,2025-09-03 15:14:55,88,36.9,9703,1
T0042,2025-09-05 02:11:30,69,38.4,7785,0
T0042,2025-09-01 19:11:20,83,36.6,4624,0
T0042,2025-09-03 02:40:28,88,36.0,10022,1
T0042,2025-09-04 04:08:30,120,38.0,10020,1
T0042,2025-09-01 08:03:05,99,37.5,10979,0
T0042,2025-09-07 07:57:14,108,37.1,5597,0
T0042,2025-09-05 07:43:16,90,37.5,12953,0
T0042,2025-09-05 23:28:29,100,36.8,8397,0
T0042,2025-09-01 17:48:00,90,37.8,5062,0
T0042,2025-09-05 13:00:16,98,38.5,14160,0
T0042,2025-09-02 22:55:20,98,36.8,14267,0
T0042,2025-09-05 22:30:38,96,37.8,10062,0
T0042,2025-09-05 12:13:47,107,36.3,2659,0
T0042,2025-09-01 05:49:54,113,36.2,11296,0
T0042,2025-09-04 22:09:14,111,37.7,3084,1
T0042,2025-09-02 04:46:13,113,37.5,10317,0
T0183,2025-09-02 02:22:14,86,36.2,3067,0
T0183,2025-09-07 15:43:06,84,38.2,4643,0
T0183,2025-09-01 08:42:08,86,38.7,7864,0
T0183,2025-09-06 10:08:56,75,37.7,8255,0
T0183,2025-09-05 16:37:07,112,37.5,1034,0
T0183,2025-09-05 19:05:42,111,36.5,12659,1
T0183,2025-09-07 17:00:32,105,37.5,3993,0
T0183,2025-09-04 10:04:30,74,36.8,12401,1
T0183,2025-09-04 18:26:16,111,38.9,13743,0
T0183,2025-09-07 06:58:24,72,38.2,5282,1
T0183,2025-09-04 16:55:49,60,37.1,10686,0
T0183,2025-09-04 04:20:29,98,38.5,12043,0
T0183,2025-09-02 21:33:28,94,37.5,3334,0
T0183,2025-09-05 17:30:36,115,38.7,6116,0
T0183,2025-09-04 19:26:14,110,36.8,10206,1
T0183,2025-09-06 07:35:09,68,37.7,1369,0
T0183,2025-09-05 14:56:46,112,38.2,6717,1
